Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr)
16-MAR-2026,53721.50,54664.15,53258.15,54413.40,390205387,13320.22
17-MAR-2026,54649.10,54996.00,54113.15,54876.00,277121654,11004.30
18-MAR-2026,54927.05,55554.15,54689.10,55326.05,223220072,7903.44
19-MAR-2026,53474.55,54150.30,53240.60,53451.00,395346799,20607.88
20-MAR-2026,53548.20,54382.45,53297.55,53427.05,403462742,17220.17
23-MAR-2026,52576.10,52665.30,51323.60,51437.75,397272538,13308.41
24-MAR-2026,52384.80,52949.15,51827.50,52605.65,340583044,14262.57
25-MAR-2026,53024.75,54146.15,53024.75,53708.10,348622900,13553.77
27-MAR-2026,53244.25,53292.50,52211.20,52274.60,652961325,17256.85
30-MAR-2026,51527.90,51624.50,50105.25,50275.35,564854267,19609.94
01-APR-2026,51433.90,52025.85,51133.55,51448.65,370080617,14540.54
02-APR-2026,50625.65,51731.95,49954.85,51548.75,339187207,12190.88
06-APR-2026,51747.60,52704.55,51111.10,52609.10,355025586,10973.33
07-APR-2026,52258.70,52778.20,51868.45,52716.25,279734514,12333.30
08-APR-2026,54904.45,55778.25,54797.50,55703.90,443562335,18029.45
09-APR-2026,55505.95,55583.10,54626.85,54821.70,298789312,12761.46
10-APR-2026,55182.25,55978.50,55145.25,55912.75,281031417,11050.95
13-APR-2026,54646.00,55752.65,54356.20,55605.05,303606436,13923.52